username,tweet,waktu,likes,retweets,replies,tweet_link
Arjun,"Arjun Arjun @radenmasabimana · Di usia yg tidak muda ini, sudah tidak terlalu excited dgn countdown dan kemeriahanya.

Lebih memilih having a quality sleep dan memulai first morning di tahun yg baru dgn menikmati keperjakaan  udara  pagi yg msh belum ternodai oleh  polusi  dunia.

Have a blessed new year all 1 1 1 7 7 7 1K 1K 1K",01-01-2025 06:55,0,0,0,https://x.com/radenmasabimana/status/1874242983832490200
Cah Bogang,Cah Bogang Cah Bogang @CahBajang2 · @und_cuckoosnest and and @LexWu_13 Polusi udara  masuk gak ya dalam pertimbangan 2 2 2 1.2K 1.2K 1.2K,01-01-2025 06:31,0,0,0,https://x.com/CahBajang2/status/1874236968818934199
Shadam & Lintang,"Shadam & Lintang Shadam & Lintang @lintanganandya · @lintanganandya 6. Mengurangi  Polusi : 

Tanaman ini efektif menyerap debu halus dan polutan lainnya, menjaga kebersihan  udara  di sekitar Anda. 1 1 1 42 42 42",01-01-2025 05:12,0,0,0,https://x.com/lintanganandya/status/1874217067051917502
polusi jakarta terkini,"polusi jakarta terkini polusi jakarta terkini @Polusi_udara78 · @Polusi_udara78 @infoBMKG and 2 others Data lengkap  polusi udara  jakarta dr tahun 2020-2024. 
365 hari x 4 tahun= 1.460 hari negeri ini sangat bodoh krn sdh membiarkan  polusi udara  beracun di gunakan bernafas oleh rakyatnya. Bejad bukan pemerintah Ri ? Bahkan sampai dibela lagi sipolusi  udara  ini hingga ke MA / kasasi 1 1 1 1 1 1 41 41 41",01-01-2025 04:37,0,0,0,https://x.com/Polusi_udara78/status/1874208322246901989
polusi jakarta terkini,"polusi jakarta terkini polusi jakarta terkini @Polusi_udara78 · @Polusi_udara78 @infoBMKG and 2 others Di tahun 2025 tdk seharusnya  polusi udara  meningkat sprti pd tahun2 sblm nya. Krn saya percaya kalian sdh lbh cerdas dan maju dlm berpikir. Krn presiden Ri yg skrb ini level kecerdasannya bagikan langit dan bumi jika dibandingkan dgn presiden ke 7 Ri 
Yg namanya pun kita sdh lupa 1 1 1 1 1 1 52 52 52",01-01-2025 04:27,0,0,0,https://x.com/Polusi_udara78/status/1874205760374309258
Monyet Ganteng,"Monyet Ganteng Monyet Ganteng @setyoriono · @txtdaribogor 1. Trans Pakuan diperluas koridornya
2. Tata kotanya dibenerin, jangan cuma sekitaran istana Bogor doang yg bagus, pinggir2 butuh perhatian
3. Tertibin angkot, preman, sm pungli2 gajelas
4. Kerjasama se-Jabodetabek buat penanganan  polusi udara  tiap musim kemarau 17 17 17 415 415 415",01-01-2025 04:22,0,0,0,https://x.com/setyoriono/status/1874204631745831249
polusi jakarta terkini,polusi jakarta terkini polusi jakarta terkini @Polusi_udara78 · @Polusi_udara78 @infoBMKG and 2 others Tgl 1-1-2022 paling bagus  polusi  udaranya krn terjadi selama 24 jam level hijau pdhal jakarta maen kembang api juga pd saat pergantian tahun   selamat belajar yaa guys ttg masalah  polusi udara . Dr data2 ini dpt kita simpulkan bahwa  polusi  di jakarta itu adalah buatan..  1 1 1 1 1 1 44 44 44,01-01-2025 04:21,0,0,0,https://x.com/Polusi_udara78/status/1874204156145312254
polusi jakarta terkini,polusi jakarta terkini polusi jakarta terkini @Polusi_udara78 · @Polusi_udara78 @infoBMKG and 2 others Data  polusi udara  1 thn di tahun 2024 sprti ini datanya  1 1 1 1 1 1 21 21 21,01-01-2025 04:09,0,0,0,https://x.com/Polusi_udara78/status/1874201284661952728
polusi jakarta terkini,polusi jakarta terkini polusi jakarta terkini @Polusi_udara78 · @Polusi_udara78 @infoBMKG and 2 others Inilah data  polusi udara  bulan Desember selama 31 hari atau satu bulan penuh... tgl 7-8- 23- 28 keadaannya buruk. Sprti mau coba2 bikin  polusi udara  buatan tetapi keciduk juga akhirnya   inilah pengalaman ttg rekayasa  polusi udara  buatan di Jakarta yaa besti.. kacau 1 1 1 1 1 1 23 23 23,01-01-2025 03:57,0,0,0,https://x.com/Polusi_udara78/status/1874198321151303840
Dul,"Dul Dul @WongMelayu · lucu juga manusia, gembar gembor  polusi  selama setahun tapi merayakan awal tahun yg baru dengan  polusi udara  dan suara 1 1 1 47 47 47",01-01-2025 01:54,0,0,0,https://x.com/WongMelayu/status/1874167298023711205
