id,username,created_at,retweets_count,likes_count,User_location,text_clean,text_preprocessed
FALSE,Gabut Hakiki,3/24/2022 3:17,0,0,"Kota Banda Aceh, Nangro Aceh D",erick thohir ikn nusantara akan jadi pusat ekonomi barudukung ekonomi kreatif,"['erick', 'thohir', 'ikn', 'nusantara', 'pusat', 'ekonomi', 'barudukung', 'ekonomi', 'kreatif']"
FALSE,Gabut Hakiki,3/24/2022 3:17,0,0,"Kota Banda Aceh, Nangro Aceh D",ikn nusantara mesin baru kemajuan bangsadukung ekonomi kreatif,"['ikn', 'nusantara', 'mesin', 'maju', 'bangsadukung', 'ekonomi', 'kreatif']"
FALSE,Indonesia_Damai,3/24/2022 3:17,0,0,"Toboali, Indonesia",mui soal pemindahan ikn dukung ekonomi kreatif,"['mui', 'pindah', 'ikn', 'dukung', 'ekonomi', 'kreatif']"
FALSE,Indonesia_Damai,3/24/2022 3:17,0,0,"Toboali, Indonesia",kejaksaan agung dukung ikn nusantara dukung ekonomi kreatif,"['jaksa', 'agung', 'dukung', 'ikn', 'nusantara', 'dukung', 'ekonomi', 'kreatif']"
FALSE,RirinTisa,3/24/2022 3:17,0,1,di hatimu,tp apa ndak udah disunat dulu ama pejabat ikn,"['tp', 'ndak', 'udah', 'sunat', 'ama', 'jabat', 'ikn']"
FALSE,GUS MENCRET,3/24/2022 3:16,0,0,,marm mo matek mo mampusitu urusan kalian udah diingatkan jauh hari malah gak nerima makan tu ikn,"['marm', 'mo', 'matek', 'mo', 'mampusitu', 'urus', 'udah', 'gak', 'nerima', 'makan', 'tu', 'ikn']"
FALSE,Bintang Nasionalis,3/24/2022 3:15,0,0,,kenapa ikn pakai kendi kenapa mandalika pakai pawang tujuannya hanya untuk mengkounter orang yg merasa…,"['ikn', 'pakai', 'kendi', 'mandalika', 'pakai', 'pawang', 'tuju', 'mengkounter', 'orang', 'yg', 'rasa']"
FALSE,bebasbaru_official,3/24/2022 3:15,0,0,"Tabalong, Kalimantan Selatan",ahmad riza patria bagus ikn pindah kelak jakarta fokus jadi kota bisnis internasional yang luar biasa maju,"['ahmad', 'riza', 'patria', 'bagus', 'ikn', 'pindah', 'kelak', 'jakarta', 'fokus', 'kota', 'bisnis', 'internasional', 'maju']"
FALSE,Dewiayu,3/24/2022 3:14,0,1,,pembangunan ikn nusantara di kalimantan timur untuk kemajuan bangsa dukung ekonomi kreatif,"['bangun', 'ikn', 'nusantara', 'kalimantan', 'timur', 'maju', 'bangsa', 'dukung', 'ekonomi', 'kreatif']"
FALSE,junedmoon,3/24/2022 3:14,0,0,"Cengkareng, Jakarta Barat",bem unikarta dukung ikn nusantara dukung ekonomi kreatif,"['bem', 'unikarta', 'dukung', 'ikn', 'nusantara', 'dukung', 'ekonomi', 'kreatif']"
FALSE,Sultan,3/24/2022 3:13,0,0,"Nusa Tenggara Barat, Indonesia",dukung ekonomi kreatif  kejagung pastikan dukung penuh program kepala otoritas ikn nusantara,"['dukung', 'ekonomi', 'kreatif', 'jagung', 'pasti', 'dukung', 'penuh', 'program', 'kepala', 'otoritas', 'ikn', 'nusantara']"
FALSE,Anomali Arumbinang 🇮🇩,3/24/2022 3:13,0,1,Bandung Utara,ada gitu rakyat mau sumbang ikn   🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣  enak di elu gak enak di gua,"['gitu', 'rakyat', 'sumbang', 'ikn', '', 'enak', 'elu', 'gak', 'enak', 'gua']"
FALSE,Lalat Hijau,3/24/2022 3:12,0,0,"Central Borneo, Indonesia",pembangunan ikn nusantara di kalimantan timur dukung ekonomi kreatif,"['bangun', 'ikn', 'nusantara', 'kalimantan', 'timur', 'dukung', 'ekonomi', 'kreatif']"
FALSE,Ardinal Arkas,3/24/2022 3:12,0,0,bogor,didu wooii opung sono mulak k poldung kek menteri  urusan mending urusi  jt rakyat  big…,"['didu', 'wooii', 'opung', 'sono', 'mulak', 'k', 'poldung', 'kek', 'menteri', 'urus', 'mending', 'urus', 'jt', 'rakyat', 'big']"
FALSE,Melisa Igrisa,3/24/2022 3:11,0,0,,pembangunan ikn di kaltim memberikan dampak yang sangat positif bagi masyarakat luas dukung ekonomi kreatif,"['bangun', 'ikn', 'kaltim', 'dampak', 'positif', 'masyarakat', 'luas', 'dukung', 'ekonomi', 'kreatif']"
FALSE,ACHMAD FAKHRIZAL,3/24/2022 3:11,0,0,"Kalimantan Selatan, Indonesia",hilang hiling hilang hiling hilihhh orang bingung nyari migor karna stok terbatas sekalinya muncul malah mah…,"['hilang', 'hiling', 'hilang', 'hiling', 'hilihhh', 'orang', 'bingung', 'nyari', 'migor', 'karna', 'stok', 'batas', 'sekali', 'muncul', 'mah']"
FALSE,Jegger Alim,3/24/2022 3:11,0,0,,guys net bongjgn lupa nyawer ya buat ikn,"['guys', 'net', 'bongjgn', 'lupa', 'nyawer', 'ya', 'ikn']"
FALSE,Rio Ginta,3/24/2022 3:11,0,0,Pekanbaru,iyo un bali bareh se susah dimintak pula sumbangan untuk ikn galadir,"['iyo', 'un', 'bal', 'bareh', 'susah', 'mintak', 'sumbang', 'ikn', 'galadir']"
FALSE,Rengganis,3/24/2022 3:10,0,0,"DKI Jakarta, Indonesia",mendukung penuh pembangunan ikn nusantara dukung ekonomi kreatif,"['dukung', 'penuh', 'bangun', 'ikn', 'nusantara', 'dukung', 'ekonomi', 'kreatif']"
FALSE,Batedos,3/24/2022 3:09,0,0,,dukung ekonomi kreatif  ikn nusantara di kaltim jokowi sebut alam indonesia jadi modal kembangkan energi hijau,"['dukung', 'ekonomi', 'kreatif', 'ikn', 'nusantara', 'kaltim', 'jokowi', 'alam', 'indonesia', 'modal', 'kembang', 'energi', 'hijau']"
FALSE,pantat,3/24/2022 3:09,0,0,,kebanyakan big tech comp ceonya basicnya engineerstemsaintek  ket…,"['banyak', 'big', 'tech', 'comp', 'ceonya', 'basicnya', 'engineerstemsaintek', 'ket']"
FALSE,Fablo Kuala,3/24/2022 3:08,0,0,,pembangunan ikn nusantara di kalimantan timur akan menjadi magnet kemajuan bagi bangsa  dukung ekonomi kreatif,"['bangun', 'ikn', 'nusantara', 'kalimantan', 'timur', 'magnet', 'maju', 'bangsa', 'dukung', 'ekonomi', 'kreatif']"
FALSE,Putry Ludji,3/24/2022 3:08,0,0,,ayodukung ikn nusantara,"['ayodukung', 'ikn', 'nusantara']"
FALSE,Putry Ludji,3/24/2022 3:08,0,0,,ayo dukung pembangunan ikn,"['ayo', 'dukung', 'bangun', 'ikn']"
FALSE,Ar Arozy,3/24/2022 3:07,0,0,,mendingan nyawer buat panti asuhan yatim piatu sm takfidz quran jelas dapat pahalanya lah suruh nya…,"['mending', 'nyawer', 'panti', 'asuh', 'yatim', 'piatu', 'sm', 'takfidz', 'quran', 'pahala', 'suruh', 'nya']"
FALSE,Radio Idola Semarang,3/24/2022 3:07,0,0,"Semarang, Jawa Tengah",diskusi  dengan anwar hafid     strategi pembiayaan ikn melal…,"['diskusi', 'anwar', 'hafid', 'strategi', 'biaya', 'ikn', 'melal']"
