id,username,tweet,text_clean,waktu,tweet_link,sentiment
5,kuliberseragam,"kuliberseragam kuliberseragam @rudihitam · @Anduin_meneth @DipoNiarto and and @ainunia Gak akan bisa bro, deterjen dan polutan lain masih contact langsung dengan tanah setiap harinya. Root cause analysisnya harus benar dulu terkait  pencemaran air  tanah. Sumur resapan oke tapi bukan untuk mendegradasi polutan  air  limbah apapun. 135 135 135",kuliberseragam kuliberseragam  meneth and and gak bro deterjen polutan contact langsung tanah hari root cause analysisnya kait cemar air tanah sumur resap oke degradasi polutan air limbah apa,28-12-2023 05:39,https://x.com/rudihitam/status/1740140272372384172,positive
6,ibumuda,"ibumuda ibumuda @AKafifah · @UbahBareng and and @aniesbaswedan Halo kak, aku asli Banyuwangi.Rata"" daerah selatan berprofesi sebagai petani atau nelayan. Untuk petani mereka kesulitan pembelian pupuk bersubsidi, untuk nelayan, bagaimana pemerintah bisa membantu penjualan ikan nelayan? Dan cara pak Anies menangani masalah  pencemaran air  laut 189 189 189",ibumuda ibumuda  and and halo kak asli banyuwangirata daerah selatan profesi tani nelayan tani sulit beli pupuk subsidi nelayan perintah bantu jual ikan nelayan anies tangan cemar air laut,27-12-2023 15:22,https://x.com/AKafifah/status/1739924793624072458,negative
7,ibumuda,"ibumuda ibumuda @AKafifah · @UbahBareng @rakhmat_mulyana and 4 others Halo kak, aku asli Banyuwangi.Rata"" daerah selatan berprofesi sebagai petani atau nelayan. Untuk petani mereka kesulitan pembelian pupuk bersubsidi, untuk nelayan, bagaimana pemerintah bisa membantu penjualan ikan nelayan? Dan cara pak Anies menangani masalah  pencemaran air  laut 1 1 1 27 27 27",ibumuda ibumuda  mulyana and others halo kak asli banyuwangirata daerah selatan profesi tani nelayan tani sulit beli pupuk subsidi nelayan perintah bantu jual ikan nelayan anies tangan cemar air laut,27-12-2023 15:22,https://x.com/AKafifah/status/1739924640481648899,negative
9,daggerdast,daggerdast daggerdast @daggerdast · @lilypoetry9 @dony_rhom and 3 others Jadi masalahnya di  pencemaran air  atau di pemrosesan  air  mineralnya ? 4 4 4,daggerdast daggerdast  rhom and others cemar air pemrosesan air mineral,25-12-2023 21:49,https://x.com/daggerdast/status/1739297407270260836,neutral
15,Ĕxčèĺ Ďèé,"Ĕxčèĺ Ďèé Ĕxčèĺ Ďèé @Excel_Dee · @Excel_Dee Klasifikasi Pestisida
1. Pestisida berdasarkan organisme sasaran gangguan pada tanaman
A. Abiotik
    - struktur tanah
    - kesuburan tanah
    - kekurangan unsur hara
    -  pencemaran air ,udara 2 2 2 3 3 3 140 140 140",x  x  dee  dee klasifikasi pestisida pestisida dasar organisme sasar ganggu tanam a abiotik struktur tanah subur tanah kurang unsur hara cemar air udara,23-12-2023 06:10,https://x.com/Excel_Dee/status/1738336259423314219,negative
16,STRATO JUPITER,"STRATO JUPITER STRATO JUPITER @dustingalaxy_ · PP 22 tahun 2021 lagi gila2an ditegakkan kok. Undang2 lindung lingkungan kita udh mulai maju banget dan makin membaik, sekarang setiap perusahaan udh mulai diwajibkan punya minimal 1 org untuk masing2 pengendalian  pencemaran air , udara, dan hazardous waste. Valid, gw g tipu2 kok. Dandhy Laksono Dandhy Laksono @Dandhy_Laksono · Gibran: Ini baru hilirisasi nikel. Belum tembaga, mangan, bauksit, bio-etanol, bio-avtur. Kita bisa jadi raja energi dunia.

Kalau pakai logika Gibran, tahun 2045 Indonesia (tinggal) Ampas. 1 1 1 178 178 178",strato jupiter strato jupiter  pp gila tegak undang lindung lingkung udh maju banget baik usaha udh wajib minimal org kendali cemar air udara hazardous waste valid gw g tipu dandhy laksono dandhy laksono laksono  gibran hilir nikel tembaga mangan bauksit bioetanol bioavtur raja energi dunia pakai logika gibran indonesia tinggal ampas,23-12-2023 05:35,https://x.com/dustingalaxy_/status/1738327488953217433,negative
18,PT Gunung Raja Paksi Tbk,"PT Gunung Raja Paksi Tbk PT Gunung Raja Paksi Tbk @gunungrajapaksi · GRP dinilai patuh dalam aspek penilaian ketaatan penghargaan PROPER. Aspek tersebut meliputi izin lingkungan, pengendalian  pencemaran air , pengendalian  pencemaran  udara, pengelolaan limbah B3 dan Non B3, serta pengelolaan sampah. 49 49 49",pt gunung raja paksi tbk pt gunung raja paksi tbk  grp nilai patuh aspek nilai taat harga proper aspek liput izin lingkung kendali cemar air kendali cemar udara kelola limbah b non b kelola sampah,22-12-2023 17:26,https://x.com/gunungrajapaksi/status/1738143990548164897,positive
19,Senja Merah Muda,Senja Merah Muda Senja Merah Muda @Senja1063145768 · @Senja1063145768 Sementara ada juga inovasi PLN NP dalam upaya efisiensi  air  & penurunan beban  pencemaran air  dalam POLIZ yaitu Poppet Valve Optimizator 1 1 1 6 6 6,senja merah muda senja merah muda  inovasi pln np upaya efisiensi air turun beban cemar air poliz poppet valve optimizator,22-12-2023 14:00,https://x.com/Senja1063145768/status/1738092064896876888,negative
20,namakurin,namakurin namakurin @rinnamaku · @rinnamaku Sementara ada juga inovasi PLN NP dalam upaya efisiensi  air  & penurunan beban  pencemaran air  dalam POLIZ yaitu Poppet Valve Optimizator 1 1 1 2 2 2,namakurin namakurin  inovasi pln np upaya efisiensi air turun beban cemar air poliz poppet valve optimizator,22-12-2023 13:54,https://x.com/rinnamaku/status/1738090675173015873,negative
21,Bebe,Bebe Bebe @bebenahybe · @bebenahybe Sementara ada juga inovasi PLN NP dalam upaya efisiensi  air  & penurunan beban  pencemaran air  dalam POLIZ yaitu Poppet Valve Optimizator 2 2 2 3 3 3,bebe bebe  inovasi pln np upaya efisiensi air turun beban cemar air poliz poppet valve optimizator,22-12-2023 13:50,https://x.com/bebenahybe/status/1738089668355486172,negative
