id,username,tweet,text_clean,waktu,tweet_link
1,Rava Mecca,"Rava Mecca Rava Mecca @rmecca_ · @rmecca_ Sebagai makhluk kecil, capung juga menghadapi banyak tantangan:

-Kehilangan habitat akibat urbanisasi.
- Pencemaran air , karena capung membutuhkan lingkungan  air  bersih untuk bertelur.
-Perubahan iklim yang mengganggu siklus hidup mereka.

Mari lindungi mereka dengan menjaga Show more 1 1 1 25 25 25",rava mecca rava mecca  makhluk capung hadap tantang hilang habitat akibat urbanisasi cemar air capung butuh lingkung air bersih telur ubah iklim ganggu siklus hidup mari lindung jaga show more,01-01-2025 06:06,https://x.com/rmecca_/status/1874230586090648046
3,Zurrr,"Zurrr Zurrr @riadizur · Di daerahku di Sumatera, perkebunan Kelapa Sawit dan industri Kelapa Sawit adalah penyebab utama berbagai masalah : kekeringan,  pencemaran air  dan udara, degradasi lahan pertanian dan kualitas tanah, kelangkaan habitat hewan dan tumbuhan, serta perubahan suhu dan iklim daerah. Jejak digital. Jejak digital. @ARSIPAJA · Prabowo:
""Saya kira ke depan kita juga harus tambah tanam kelapa sawit, nggak usah takut apa itu namanya membahayakan, deforestation.
Namanya kelapa sawit ya pohon, ya kan? Benar nggak? Kelapa sawit itu pohon, ada daunnya kan?""   x.com/kompascom/stat… 1 1 1 108 108 108",zurrr zurrr  daerah sumatera kebun kelapa sawit industri kelapa sawit sebab utama kering cemar air udara degradasi lahan tani kualitas tanah langka habitat hewan tumbuh ubah suhu iklim daerah jejak digital jejak digital  prabowo tanam kelapa sawit nggak takut nama bahaya deforestation nama kelapa sawit ya pohon ya nggak kelapa sawit pohon daun xcomkompascomstat,31-12-2024 13:27,https://x.com/riadizur/status/1873979149263704403
5,Toni,"Toni Toni @inotkurniawan · @ARSIPAJA Iya sawit itu pohon. Tapi yg namanya hutan itu pohonnya macem2 dan ga homogen. Sawit lebih cocok disebut kebun. Belum lagi dampak2 negatifnya seperti  pencemaran air , erosi, penurunan unsur hara & penurunan kualitas tanah dalam jangka panjang. Presiden kok kosong  1 1 1 1 1 1 4 4 4 1.1K 1.1K 1.1K",ton ton  iya sawit pohon yg nama hutan pohon macem ga homogen sawit cocok kebun dampak negatif cemar air erosi turun unsur hara turun kualitas tanah jangka presiden kosong k k k,31-12-2024 12:14,https://x.com/inotkurniawan/status/1873960895543685429
6,Gudangberita.co.id,Gudangberita.co.id Gudangberita.co.id @gudangberita2 · Pencemaran Air  Bersih di Batam: Hendra Asman Tegaskan Kelalaian Fatal BU SPAM dan PT ABH Pencemaran Air Bersih di Batam: Hendra Asman Tegaskan Kelalaian Fatal BU SPAM dan PT ABH - Gudang... 36 36 36,gudangberitacoid gudangberitacoid  cemar air bersih batam hendra asman tegas lalai fatal bu spam pt abh cemar air bersih batam hendra asman tegas lalai fatal bu spam pt abh gudang,28-12-2024 20:34,https://x.com/gudangberita2/status/1872999525138530316
10,memeng 2,"memeng 2 memeng 2 @DambaanA · @DambaanA pendekatan Rasulullah, dan mengerjakan proyek mandiri, karena kita berada di ambang keruntuhan ekonomi, inflasi, epidem,  pencemaran air , makanan, perang, perang bilogis, gempa bumi, gunung berapi, banjir, untuk mengatasinya, dengan izin Allah, di negara negara kita terutama timur 1 1 1 3 3 3 134 134 134",memeng memeng  dekat rasulullah proyek mandiri ambang runtuh ekonomi inflasi epidem cemar air makan perang perang bilogis gempa bumi gunung rap banjir atas izin allah negara negara timur,27-12-2024 03:23,https://x.com/DambaanA/status/1872377632727466026
12,Wity Aryani,"Wity Aryani Wity Aryani @WityAryani · @WityAryani seperti proyek Rempang Eco-City, konflik Wadas,  pencemaran air  karena PSN smelter nikel, dan lainnya. Inilah konsekuensi logis dari penerapan sistem sekuler kapitalisme yang melahirkan kebijakan populis otoriter. #ButuhKepemimpinanIslam #Khilafah 27 27 27",wity aryani wity aryani  proyek rempang ecocity konflik wadas cemar air psn smelter nikel konsekuensi logis terap sistem sekuler kapitalisme lahir bijak populis otoriter,26-12-2024 18:32,https://x.com/WityAryani/status/1872244079872073837
15,Lu ·ᴗ·,"Lu ·ᴗ· Lu ·ᴗ· @_nichtglauben · pencemaran  NaOH yang kita semua lihat~ let's see ke depannya seperti apa. siap-siap aja sih  pencemaran air , udara, tanah. belom lagi pengeroposan struktur yuhu seru sekali! bayangin zatnya menyerap ke dalam tanah aja dulu, diserap tanaman, trus dimakan binatang, kita makan. Radio PRFM Radio PRFM @PRFMnews · 10.45 RT  @usabperning_ @usabperning_ Untuk kendaraan yg menuju jalur Padalarang-cikalong atau sebaliknya   

Silahkan cari alternatif  

Ada truk muatan bahan kimia jenis remover jebol di area sepanjang cikamuning-warungdomba  

Korban kendaraan sudah banyak  Harap hati² 1 1 1 97 97 97",lu  lu  nichtglauben  cemar naoh lihat lets see depan siapsiap aja sih cemar air udara tanah bom keropos struktur yuhu seru bayangin zat serap tanah aja serap tanam trus makan binatang makan radio prfm radio prfm  kendara yg jalur padalarangcikalong silah cari alternatif truk muat bahan kimia jenis remover jebol area cikamuningwarungdomba korban kendara harap hati,26-12-2024 01:00,https://x.com/_nichtglauben/status/1871979458024067401
21,Cince,Cince Cince @menumpahkan · Parody account @menumpahkan trus ada dinas lingkungan yg dtg dalam 1x24 jam ke tkp. besoknya ada tes  pencemaran air  dan tanah. 12 12 12,cince cince  parody account trus dinas lingkung yg dtg x jam tkp besok tes cemar air tanah,25-12-2024 01:58,https://x.com/menumpahkan/status/1871631460077330730
24,ester,"ester ester @mujaerterbang · @humaniesproject Tercemar tentu aja, bahaya buat ekosistem, bahaya buat warga sekitar,  pencemaran air  juga 1.2K 1.2K 1.2K",ester ester  cemar aja bahaya ekosistem bahaya warga cemar air k k k,24-12-2024 21:59,https://x.com/mujaerterbang/status/1871571516531564802
25,nay,"nay nay @nailaasey · @fuadarmzl and and @tilehopper Pencemaran air  kalo smpe kebawa ke sungai, kali dll itu 20 ton loh   terus korosif 2K 2K 2K",nay nay  and and cemar air kalo smpe bawa sungai kali dll ton loh korosif k k k,24-12-2024 21:39,https://x.com/nailaasey/status/1871566250650038600
